t_sec,vmrss_kb,cpu_pct
0,907600,0
1,937884,1263.59
2,939984,1168.87
3,939996,1140.41
4,940032,1104.73
5,940044,1113.96
6,940060,1138.21
7,940096,1135.28
8,940108,1099.73
9,940144,1132.37
10,940232,1141.09
11,940284,1109.06
12,940300,1138.35
13,940340,1140.75
14,940384,1121.68
15,940396,1116.32
16,940428,1130.46
17,940448,1120.42
18,940468,1145.11
19,940484,1131.74
20,940492,1133.22
21,940524,1125.28
22,940916,1139.61
23,940948,1144.57
24,940960,1147.77
25,940980,1138.17
26,940988,1138.45
27,941132,1147.63
28,941160,1150.96
29,941188,988.44
30,941668,0.97
31,941668,0.0
32,941668,0.0
33,941668,0.0
